	message	method	score	actual	runtime(ns)
60	"I don't think he has spatula hands!
"	LP	[en:0.9999955251193696]	ham	8.134033203125
62	"You can never do NOTHING
"	LP	[pt:0.8571408455316947, en:0.14285696728023423]	ham	13.18798828125
64	"Not a drop in the tank
"	LP	[en:0.9999966298971472]	ham	3.47900390625
66	"(That said can you text him one more time?)
"	LP	[en:0.999994848265832]	ham	5.70703125
68	"I am not having her number sir
"	LP	[en:0.8571406149022427, no:0.1428571703113519]	ham	29.885986328125
70	"Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow
"	LP	[en:0.999995702148827]	ham	4.72705078125
72	"sir, you will receive the account no another 1hr time. Sorry for the delay.
"	LP	[en:0.9999985328572811]	ham	3.221923828125
74	"Mum say we wan to go then go... Then she can shun bian watch da glass exhibition...
"	LP	[en:0.9999947970589177]	ham	5.718994140625
76	"Am also doing in cbe only. But have to pay.
"	LP	[en:0.9999957400423838]	ham	3.5458984375
78	"I will see in half an hour
"	LP	[en:0.9999944138721361]	ham	7.48486328125
80	"Oh ho. Is this the first time u use these type of words
"	LP	[en:0.9999979463380695]	ham	3.30810546875
82	"Hey babe! I saw you came online for a second and then you disappeared, what happened ?
"	LP	[en:0.999996521925248]	ham	4.719970703125
84	"Aiyah u did ok already lar. E nydc at wheellock?
"	LP	[so:0.4285702057023427, en:0.2857154496130474, cy:0.28571312854178343]	ham	11.967041015625
86	"Sorry, was in the bathroom, sup
"	LP	[en:0.9999969464532825]	ham	3.616943359375
88	"U ned to convince him tht its not possible witot hurting his feeling its the main
"	LP	[en:0.9999969852038608]	ham	4.26416015625
90	"God bless.get good sleep my dear...i will pray!
"	LP	[en:0.5714256507785651, cy:0.28571391666898643, af:0.14285885538720808]	ham	14.440185546875
92	"\Getting tickets 4 walsall tue 6 th march. My mate is getting me them on sat. ill pay my treat. Want 2 go. Txt bak .Terry\""""
"	LP	[en:0.9999951508875304]	ham	5.31787109375
94	"I just made some payments so dont have that much. Sorry. Would you want it fedex or the other way.
"	LP	[en:0.9999984495922345]	ham	4.5771484375
96	"Ok but knackered. Just came home and went to sleep! Not good at this full time work lark.
"	LP	[en:0.9999965870847948]	ham	4.530029296875
98	"LOL that would be awesome payback.
"	LP	[en:0.9999975532767862]	ham	3.6708984375
100	"Hi, can i please get a  &lt;#&gt;  dollar loan from you. I.ll pay you back by mid february. Pls.
"	LP	[en:0.9999962748786931]	ham	12.318115234375
102	"f
"	LP	[da:0.8571383688091445, en:0.14286163112848188]	spam/ham	1425.546875
104	"f
"	LP	[da:0.8571383688091445, en:0.14286163112848188]	spam/ham	132.14697265625
106	"£££
"	LP	[cy:0.9999938899268921]	spam/ham	2.711181640625
108	"ssss
"	LP	[fi:0.5714260140225865, en:0.4285708357159308]	spam/ham	842.558837890625
110	"ssssss
"	LP	[fi:0.9999949343575306]	spam/ham	20.22119140625
112	"sssssss
"	LP	[fi:0.999995434635818]	spam/ham	11.22314453125
114	"ssss
"	LP	[fi:0.5714260140225865, en:0.4285708357159308]	spam/ham	23.884033203125
116	"xxxxx
"	LP	[so:0.999999923902355]	spam/ham	906.123046875
118	"sssss
"	LP	[fi:0.8571390836160767, en:0.14286047557415021]	spam/ham	18.1669921875
120	"ssss
"	LP	[fi:0.5714260140225865, en:0.4285708357159308]	spam/ham	19.841064453125
122	"dfdf
"	LP	[cy:0.9999955907193221]	spam/ham	589.676025390625
124	"dfdfdfdf
"	LP	[cy:0.9999960543136839]	spam/ham	3.407958984375
126	"dfdfdsds
"	LP	[da:0.999995471397914]	spam/ham	20.18603515625
128	"dfdfdf
"	LP	[cy:0.9999948048529443]	spam/ham	2.9931640625
130	"efefef-
"	LP	[cy:0.9999968737061097]	spam/ham	699.632080078125
132	"--efef-
"	LP	[cy:0.9999982611213274]	spam/ham	5.205078125
134	"efef---
"	LP	[cy:0.9999982611213274]	spam/ham	5.696044921875
136	"efefef-
"	LP	[cy:0.9999968737061097]	spam/ham	2.779052734375
138	"sdsdsd
"	LP	[sv:0.9999931466381466]	spam/ham	600.51904296875
140	"sdsdsss
"	LP	[sv:0.9999930190829329]	spam/ham	11.93896484375
142	"dsdsdsd
"	LP	[sv:0.9999930637162849]	spam/ham	44.309814453125
144	"----
"	LP	error	spam/ham	0.0
145	"dfdf
"	LP	[cy:0.9999955907193221]	spam/ham	654.903076171875
147	"ddfdf
"	LP	[cy:0.9999979314894776]	spam/ham	2.844970703125
149	"--
"	LP	error	spam/ham	0.0
151	"------
"	LP	error	spam/ham	0.0
153	"-dddd
"	LP	[cy:0.9999968474351199]	spam/ham	1.282958984375
155	"asdsdsd
"	LP	[af:0.9999963123873573]	spam/ham	11.1240234375
157	"sdsd---
"	LP	[sv:0.9999939036124846]	spam/ham	11.18310546875
159	"sdsdsdsd-
"	LP	[sv:0.99999375501774]	spam/ham	13.14501953125
161	"sdsdsds---
"	LP	[sv:0.999992786805254]	spam/ham	16.218017578125
163	"sdsdsdjsndsk-
"	LP	[sv:0.6094404231566697, da:0.3905595768433303]	spam/ham	83.431884765625
165	"sd-----
"	LP	[sv:0.9999930253228627]	spam/ham	13.341064453125
167	"sdsdhvhbsd----
"	LP	[da:0.9999950331261873]	spam/ham	21.587890625
169	"sds---sd
"	LP	[sv:0.9999940015551405]	spam/ham	10.578125
171	"howzit
"	LP	[nl:0.999996724308727]	ham	183.955810546875
173	"Building on previous work, we investigate the use of machine
"	LP	[en:0.9999969442767371]	ham	2.847900390625
175	"learning models for side-channel disassembly of instructions running on an ARMCortex M0 processor, which is a popular choice for IoT due to its ultralow gate
"	LP	[en:0.9999947203080579]	ham	2.868408203125
177	"count. Its side-channel leakage has been extensively studied in the context of
"	LP	[en:0.9999957212756019]	ham	1.710693359375
179	"leakage simulators. Unlike side-channel disassemblers which extract the assembly instruction from a power trace, leakage simulators aim to construct the power
"	LP	[en:0.999998797756367]	ham	1.864501953125
181	"trace for a set of assembly instruction
"	LP	[en:0.999995823241453]	ham	2.6640625
183	"Hou my vas
"	LP	[sk:0.5714243233955111, af:0.28571295862554724, fi:0.14285723226664554]	ham	8.0927734375
185	"I see, I would expect some tutorials on this later on.
"	LP	[en:0.9999959659299964]	ham	2.662841796875
187	"Gloucester beat Bath 64-0
"	LP	[en:0.9999945851627632]	ham	7.508544921875
189	"Ok lar... Joking wif u oni...
"	LP	[id:0.7142824314789716, af:0.2857141690807148]	ham	5.609130859375
191	"I've been searching for the right words to thank you for this breather. I promise i wont take your h...
"	LP	[en:0.9999967658999459]	ham	2.02001953125
193	"Fine if that��s the way u feel. That��s the way its gota b
"	LP	[en:0.999997276717406]	ham	1.398193359375
195	"Is that seriously how you spell his name?
"	LP	[en:0.9999977589956801]	ham	1.558837890625
197	"Ffffffffff. Alright no way I can meet up with you sooner?
"	LP	[en:0.9999981373388696]	ham	3.595703125
199	"I don't know what to write :(
"	LP	[en:0.9999980095474501]	ham	1.897705078125
201	"Lol your always so convincing.
"	LP	[en:0.9999988397162749]	ham	3.88427734375
203	"Ahhh. Work. I vaguely remember that! What does it feel like? Lol
"	LP	[en:0.999996815001239]	ham	3.253662109375
205	"Oops, I'll let you know when my roommate's done
"	LP	[en:0.999995312665569]	ham	3.415283203125
207	"Your latest phone bill is available
"	LP	[fr:0.9999962419461602]	ham	3.169677734375
209	"Fair enough, anything going on?
"	LP	[en:0.9999968537963664]	ham	5.178466796875
211	"Something like 0x100?
"	LP	[no:0.999995108912753]	ham	7.987548828125
213	"Meisies & Partytjies
"	LP	[af:0.857137952792558, lt:0.1428588248029334]	ham	4.56689453125
215	"What you thinked about me. First time you saw me in class.
"	LP	[en:0.999996339203249]	ham	2.4208984375
217	"K fyi x has a ride early tomorrow morning but he's crashing at our place tonight
"	LP	[en:0.9999975164838047]	ham	1.599365234375
219	"Tell where you reached
"	LP	[en:0.9999976673247569]	ham	2.1572265625
221	"U can call me now...
"	LP	[en:0.8571402184185186, it:0.14285947650465056]	ham	4.262451171875
223	"Are you free for wgv?
"	LP	[en:0.9999970594180595]	ham	3.535888671875
225	"Waar Paarl?
"	LP	[so:0.9999953640836752]	ham	5.443359375
227	"K. Did you call me just now ah?
"	LP	[en:0.8571390105974053, so:0.14285865751377894]	ham	4.609619140625
229	"I call you later, don't have network. If urgnt, sms me.
"	LP	[en:0.9999949580130448]	ham	7.052490234375
231	"Does this count as spam?
"	LP	[en:0.9999962839482861]	ham	2.718017578125
233	"i see. When we finish we have loads of loans to pay
"	LP	[en:0.9999964757172706]	ham	3.18310546875
235	"Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx
"	LP	[en:0.9999978192420832]	ham	2.363525390625
237	"Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.
"	LP	[en:0.999997697984573]	ham	4.0751953125
239	"Going for dinner.msg you after.
"	LP	[da:0.857139765621976, cy:0.14285575612682605]	ham	6.01953125
241	"I missed my flight
"	LP	[en:0.9999980312499009]	ham	3.868408203125
243	":D sounds lekker to me
"	LP	[no:0.9999951986069107]	ham	5.772705078125
245	"Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!
"	LP	[en:0.9999969106638097]	ham	4.235107421875
247	"Are you there in room.
"	LP	[en:0.9999988536483868]	ham	2.201416015625
249	"Do you drink wine?
"	LP	[af:0.9999945181551632]	ham	5.786376953125
251	"I'm home.
"	LP	[sk:0.714284988100055, en:0.2857148514316372]	ham	8.561279296875
253	"In bed already
"	LP	[en:0.9999962000133906]	ham	3.306396484375
255	"Ja not so bad boet
"	LP	[af:0.7142841704584779, en:0.14285863315858463, so:0.14285699711677002]	ham	7.16845703125
257	"I only haf msn. It's yijue@hotmail.com
"	LP	[en:0.9999961344811618]	ham	2.0849609375
259	"No no. I will check all rooms befor activities
"	LP	[en:0.9999973713444676]	ham	2.283447265625
261	"Sir, Waiting for your mail.
"	LP	[en:0.8571390000585121, cy:0.14285806768709985]	ham	2.96337890625
263	"Shall I drive or will you
"	LP	[en:0.9999971187519072]	ham	3.392822265625
265	"Watching that film you told me to
"	LP	[en:0.9999982254807511]	ham	1.97314453125
267	"NO idea the weather is terrible
"	LP	[en:0.9999981272599888]	ham	2.064208984375
269	"Whats the staff name who is taking class for us?
"	LP	[en:0.9999970835811773]	ham	3.988525390625
271	"K..i deleted my contact that why?
"	LP	[en:0.9999983892726416]	ham	2.943115234375
273	"The wine is flowing and i'm i have nevering..
"	LP	[en:0.9999965483739088]	ham	3.10400390625
275	"Ok... Ur typical reply...
"	LP	[en:0.9999944059455477]	ham	2.7138671875
277	"Great escape. I fancy the bridge but needs her lager. See you tomo
"	LP	[en:0.9999962597906769]	ham	6.708740234375
279	"croquet this arvo?
"	LP	[en:0.7142850309719371, fr:0.2857149665558303]	ham	7.3740234375
281	"Are you still bored?
"	LP	[en:0.999995143070012]	ham	5.54931640625
283	"Lol no. U can trust me.
"	LP	[it:0.8577475047640256, en:0.14225032242750404]	ham	15.031982421875
285	"He will, you guys close?
"	LP	[en:0.8571407404841217, cy:0.1428563091751637]	ham	4.86181640625
287	"Going on nothing great.bye
"	LP	[en:0.9999980530986353]	ham	2.843017578125
289	"What time does it start?
"	LP	[en:0.5714264135722285, sq:0.4285716927024356]	ham	6.749267578125
291	"All slow here
"	LP	[en:0.9999957666929259]	ham	2.947021484375
293	"I hate my job
"	LP	[en:0.5714268481888374, fi:0.28571500472979483, sk:0.14285624117809093]	ham	7.64208984375
295	"You should go to sleep
"	LP	[en:0.999996740411587]	ham	4.45703125
297	"I need a new phone
"	LP	[en:0.9999953374498245]	ham	3.68896484375
299	"I miss transvaal
"	LP	[et:0.9999958239604962]	ham	11.12744140625
301	"Darts tonight?
"	LP	[en:0.9999976166210556]	ham	4.990478515625
303	"Use the code Q{x84^KSKwFb*&N-
"	LP	[en:0.9999970025956613]	ham	2.97607421875
305	"The password is yMg+E+^paV$FQqs3x}mhdfEeqTK}[&g=QNhO)tG(
"	LP	[en:0.9999981813851111]	ham	3.1416015625
307	"Can you send me your bank details so I cans end you them oney
"	LP	[en:0.9999950171821159]	ham	4.053955078125
309	"xmr?
"	LP	[so:0.9999973147096413]	ham	2.330078125
311	"I think it's all sorted
"	LP	[en:0.9999961230483579]	ham	2.639404296875
313	"How did the interview go?
"	LP	[en:0.999996693445922]	ham	3.98095703125
315	"I can't stand that guy
"	LP	[en:0.9999955979194717]	ham	2.0595703125
317	"goo
"	LP	[so:0.9999981424463055]	ham	1.90234375
319	"go
"	LP	[pl:0.999995441891472]	ham	3.818359375
321	"gi
"	LP	[it:0.8571401820674118, tl:0.14285831000552932]	ham	6.14892578125
323	"*go
"	LP	[pl:0.999995441891472]	ham	4.0341796875
325	"go*
"	LP	[pl:0.999995441891472]	ham	4.156494140625
327	"go even
"	LP	[nl:0.5714257590182932, sl:0.4285729636044383]	ham	5.830322265625
329	"how
"	LP	[so:0.9999939776561761]	ham	6.4306640625
331	"what
"	LP	[en:0.9999954512982633]	ham	1.55126953125
333	"why
"	LP	[en:0.9999987511509584]	ham	2.817138671875
335	"where
"	LP	[en:0.9999990127477403]	ham	1.64013671875
337	"who
"	LP	[en:0.999997871677154]	ham	2.2373046875
339	"???
"	LP	error	ham	0.0
341	"Have you been paid?
"	LP	[nl:0.7142840291411469, cy:0.1428566776437497, tr:0.14285634633274114]	ham	5.892578125
343	"Have you been paid
"	LP	[nl:0.7142840291411469, cy:0.1428566776437497, tr:0.14285634633274114]	ham	5.43310546875
345	"Hav u been paid
"	LP	[nl:0.8571411786699625, et:0.14285712861932023]	ham	5.86474609375
347	"hav u bin paid
"	LP	[sv:0.6822448446335622, et:0.14285650026907076, hr:0.1428562440546811]	ham	18.430908203125
349	"Have you been payed
"	LP	[en:0.8571388576218699, tr:0.14285878390750137]	ham	4.852783203125
351	"Ring sigs are cool
"	LP	[en:0.9999965271908132]	ham	2.642333984375
353	"Text me your address
"	LP	[en:0.7142849240774787, fr:0.28571488282352053]	ham	9.84765625
355	"$
"	LP	error	ham	0.0
357	"@whatever
"	LP	[en:0.9999964392338508]	ham	1.3642578125
359	"#whatever
"	LP	[en:0.9999964392338508]	ham	4.724853515625
361	"We're talking real money here
"	LP	[en:0.9999976276046354]	ham	3.0986328125
363	"Yeah they sucked, but what am I supposed to do?
"	LP	[en:0.9999971138597216]	ham	2.4130859375
365	"-100
"	LP	error	ham	0.0
367	"5*5
"	LP	error	ham	0.0
369	"(I guess)
"	LP	[ca:0.8571398420082177, fr:0.14286015617610015]	ham	14.990478515625
371	"What's your pk?
"	LP	[en:0.999995818117953]	ham	2.6708984375
373	"Can you send me
"	LP	[en:0.8571391648781057, fr:0.14285920391652807]	ham	7.893310546875
375	"#[async_trait::async_trait]
"	LP	[cy:0.9999970357493433]	ham	3.514404296875
377	"let opts = options::Options::from_args();
"	LP	[en:0.9999953885677402]	ham	11.408203125
379	"y = 2x + 4
"	LP	[so:0.7142855534333095, cy:0.2857136797003558]	ham	2.314453125
381	"y=2x+4
"	LP	[so:0.7142855534333095, cy:0.2857136797003558]	ham	2.809326171875
383	"Where did you see that?
"	LP	[en:0.9999969337780299]	ham	3.294189453125
385	"I'm completely lost
"	LP	[en:0.9999960276355621]	ham	3.850830078125
387	"URGENT: UKGOV has issued a payment of 458 GBP to all residents as part of its promise to battle COVID 19. TAP here https://uk-covid-19.webdirect.org/ to apply
"	LP	[en:0.9999970411526065]	spam	202.66943359375
389	"NHS: We have identified that your are eligible to apply for your vaccine. For more information and to apply, follow here : uk-application-form.com
"	LP	[en:0.9999988172507159]	spam	3.014404296875
391	"qwertyuiop
"	LP	[af:0.9999938297481368]	spam	7.76171875
393	"4 color printing special request additional information now ! click here
"	LP	[en:0.9999977908856476]	spam	3.684814453125
395	"save your money buy getting this thing here you have not tried cialls yet ?
"	LP	[en:0.9999975623936954]	spam	2.357421875
397	"undeliverable : home based business for grownups
"	LP	[en:0.9999966528896218]	spam	4.755126953125
399	"save your money buy getting this thing here you have not tried cialls yet ?
"	LP	[en:0.9999975623936954]	spam	2.481201171875
401	"any med for your girl to be happy ! your girl is unsatisfied with your potency ?
"	LP	[en:0.9999975318202812]	spam	2.4912109375
403	"jjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjj
"	LP	[hr:0.9999930758494275]	spam	5.84765625
405	"the stock trading gunslinger  fanny is merrill but muzo not colza attainder and penultimate like esmark perspicuous ramble is segovia not group try slung kansas tanzania yes chameleon or continuant clothesman no  libretto is chesapeake but tight not waterway herald and hawthorn like chisel morristown superior is deoxyribonucleic not clockwork try hall incredible mcdougall yes hepburn or einsteinian earmark no  sapling is boar but duane not plain palfrey and inflexible like huzzah pepperoni bedtime is nameable not attire try edt chronography optima yes pirogue or diffusion albeit no
"	LP	[en:0.999996605866527]	spam	3.957763671875
407	"las vegas high rise boom  las vegas is fast becoming a major metropolitan city ! 60 +  new high rise towers are expected to be built on and around the las vegas strip  within the next 3 - 4 years , that ' s 30 , 000 + condominiums !  this boom has just begun ! buy first . . . early phase ,  pre - construction pricing is now available on las vegas high rises including  trump , cosmopolitan , mgm , turnberry , icon , sky , among others .  join the interest list :  http : / / www . verticallv . com  message has been sent to you by realty one highrise . learn more at www . verticallv . comif you  wish to be excluded from future mailings , please reply with the word remove in  the subject line 
"	LP	[en:0.9999968884457981]	spam	3.1337890625
409	"fpa notice : ebay misrepresentation of identity - user suspension - section 9 -  dear ebay member ,  in an effort to protect your ebay  account security , we have suspended your account until such time that it can  be safely restored to you . we have taken this action because your account  may have been compromised . although we cannot disclose our investigative  procedures that led to this conclusion , please know that we took this action  in order to maintain the safety of your account . for instructions on  getting your account reinstated , please click the button bellow :  thank you for your patience and  cooperation . regards ,  safeharbor departmentebay  inc .
"	LP	[en:0.999998609257545]	spam	3.502685546875
411	"only our software is guaranteed 100 % legal .  name - brand software at low , low , low , low prices  everything comes to him who hustles while he waits .  many would be cowards if they had courage enough
"	LP	[en:0.9999963693891236]	spam	2.18115234375
413	"guzzle like a fountain  spur m rocks , our customer speaks :  """" my girlfriend and me have been really enjoying making  our own homemade erotic films . we get off on pretending  to be like porn stars even though it will only ever be  the two of us that see them . the one thing that was really  missing from our movies was the money shot and to be frank  i was lucky if my money shot was worth a dollar
"	LP	[en:0.9999979955960987]	spam	3.12744140625
415	"get the best price on your next car !  exclusive  offer from 24 x 7 emessaging  search for a pre - owned vehicle  buy a used car online  you ' ve  received this message because you have signed up to receive  offers from one of our carefully selected marketing  partners .  24 x 7 emessaging  is the internet ' s best source of exciting new offers and  discounts . if you no longer wish to receive these offers ,  please follow the unsubscribe instructions at the bottom .  to  unsubscribe from our mailing list , please  click  here
"	LP	[en:0.999997012503362]	spam	2.555908203125
417	"claim your free home depot gift card - a $ 1000 value .  claim your home depot gift card - a $ 1000 value . were sure you can find a use for this gift card in your area . ( ) .  by exclusiverewards  qprkelmv
"	LP	[en:0.9999960165823053]	spam	3.225341796875
419	"quelqu ' un t ' aime en secret  quelqu ' un  t ' aime en secret  et nous a charg? de te pr?venir ,  devine  qui a flash? sur toi  en appelant le 08 99 701 123
"	LP	[fr:0.9999958002894261]	spam	3.98193359375
421	"join focus groups to earn money  a la carte research recruits for focus groups across the country . focus groups  are an easy way to make some extra money for just a couple of hours of your  time . each group is only for the purpose of learning your opinions . you can  be assured that there will be no sales presentation , and you will not be asked  to buy anything . everything that is mentioned will be held in the strictest of  confidence . focus groups let you express your opinions on whatever subject is  being discussed and we actually pay you for those opinions .  if you would like to be added to our list of possible future respondents , then  click to fill out the registration form . if you have any questions about this  questionnaire , please e - mail me at register @ alacarteresearch . com  sincerely ,  john mooney
"	LP	[en:0.9999969664403534]	spam	3.130126953125
423	"the credit law is on your side jm ! get perfect credit now ! 
"	LP	[en:0.9999956017725786]	spam	3.154541015625
425	"are you ready to get it ?  hello !  viagra is the # 1 med to struggle with mens ' erectile dysfunction .  like one jokes sais , it is strong enough for a man , but made for a woman ; - )  orderinq viagra oniine is a very convinient , fast and secure way !  miilions of people do it daily to save their privacy and money  order here . . .
"	LP	[en:0.9999967772213276]	spam	2.123779296875
427	"save your money buy getting this thing here  you have not tried cialls yet ?  than you cannot even imagine what it is like to be a real man in bed !  the thing is that a great errrectlon is provided for you exactly when you want .  ciaiis has a iot of advantages over viaqra  - the effect iasts 36 hours !  - you are ready to start within just 10 minutes !  - you can mix it with alcohoi ! we ship to any country !
"	LP	[en:0.9999972279314226]	spam	2.22119140625
429	"get low cost software cds or download !
"	LP	[en:0.999996256695485]	spam	2.516357421875
431	"best prescription generic meds 4 less .  save up to 90 % on retail prices !
"	LP	[en:0.9999945201845903]	spam	9.14453125
433	"help  television in 1919 by seat to my knoweledge . chrono cross in 1969
"	LP	[en:0.9999958115004441]	spam	3.047119140625
435	"you best friends and family deserve the best internet photo album !  software distribution .  a horse ! a horse ! my kingdom for a horse !
"	LP	[en:0.9999981734725909]	spam	3.33935546875
437	"online live striptease for you  see me naked click here
"	LP	[en:0.9999967387346628]	spam	3.31298828125
439	"cool page  .informati.as.ro
"	LP	[it:0.5714286334041134, en:0.4285711628122722]	spam	4.5537109375
441	"blast your ad over 200 million leads
"	LP	[en:0.9999942406177353]	spam	5.682861328125
443	"I would like to inform you about the *Aquaculture UK* 2022 Attendees list
"	LP	[en:0.9999973622848415]	spam	2.86181640625
445	"I hope that I found you as the right person to help me, as I'm in a very difficult situation after the death of my parents. And as such I am also making contact with you for your kind help and assistance.
"	LP	[en:0.9999972003283593]	spam	2.55810546875
447	"Your password i know p4s5w0rd
"	LP	[en:0.7142854603174312, pl:0.28571359853307343]	spam	3.543212890625
449	"Please check the link below and confirm your payment (1.99) to receive your package
"	LP	[en:0.9999955335324873]	spam	2.2763671875
