	message	method	score	actual	runtime(ns)
49	"EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN �100 Cash WKENT/150P16+
"	GL	en	spam	9.868896484375
51	"Me too watching surya movie only. . .after 6 pm vijay movie POKKIRI
"	GL	en	ham	4.0
53	"I am watching TV with my aunt tonight
"	GL	en	ham	3.873046875
55	"Today is the day for us to go to the beach
"	GL	en	ham	2.425048828125
57	"For me the love should start with attraction.i should feel that I need her every time around me.she should be the first thing which comes in my thoughts.I would start the day and end it with her.she should be there every time I dream.love will be then when my every breath has her name.my life should happen around her.my life will be named to her.I would cry for her.will give all my happiness and take all her sorrows.I will be ready to fight with anyone for her.I will be in love when I will be doing the craziest things for her.love will be when I don't have to proove anyone that my girl is the most beautiful lady on the whole planet.I will always be singing praises for her.love will be when I start up making chicken curry and end up makiing sambar.life will be the most beautiful then.will get every morning and thank god for the day because she is with me.I would like to say a lot..will tell later..
"	GL	en	ham	6.06103515625
59	"""FR'NDSHIP is like a needle of a clock. Though V r in d same clock, V r nt able 2 met. Evn if V meet,itz only 4few seconds. Bt V alwys stay conected. Gud 9t;-)""
"	GL	en	ham	7.037109375
61	"I don't think he has spatula hands!
"	GL	en	ham	5.7939453125
63	"You can never do NOTHING
"	GL	pt	ham	11.4970703125
65	"Not a drop in the tank
"	GL	en	ham	4.450927734375
67	"(That said can you text him one more time?)
"	GL	en	ham	5.23095703125
69	"I am not having her number sir
"	GL	en	ham	28.1728515625
71	"Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow
"	GL	en	ham	4.989013671875
73	"sir, you will receive the account no another 1hr time. Sorry for the delay.
"	GL	en	ham	3.5419921875
75	"Mum say we wan to go then go... Then she can shun bian watch da glass exhibition...
"	GL	en	ham	5.97607421875
77	"Am also doing in cbe only. But have to pay.
"	GL	en	ham	3.0830078125
79	"I will see in half an hour
"	GL	en	ham	8.10791015625
81	"Oh ho. Is this the first time u use these type of words
"	GL	en	ham	2.8818359375
83	"Hey babe! I saw you came online for a second and then you disappeared, what happened ?
"	GL	en	ham	3.782958984375
85	"Aiyah u did ok already lar. E nydc at wheellock?
"	GL	so	ham	11.626953125
87	"Sorry, was in the bathroom, sup
"	GL	en	ham	2.39111328125
89	"U ned to convince him tht its not possible witot hurting his feeling its the main
"	GL	en	ham	3.631103515625
91	"God bless.get good sleep my dear...i will pray!
"	GL	en	ham	14.59716796875
93	"\Getting tickets 4 walsall tue 6 th march. My mate is getting me them on sat. ill pay my treat. Want 2 go. Txt bak .Terry\""""
"	GL	en	ham	6.161865234375
95	"I just made some payments so dont have that much. Sorry. Would you want it fedex or the other way.
"	GL	en	ham	3.591064453125
97	"Ok but knackered. Just came home and went to sleep! Not good at this full time work lark.
"	GL	en	ham	5.986083984375
99	"LOL that would be awesome payback.
"	GL	en	ham	3.23095703125
101	"Hi, can i please get a  &lt;#&gt;  dollar loan from you. I.ll pay you back by mid february. Pls.
"	GL	en	ham	10.90087890625
103	"f
"	GL	da	spam/ham	125.12890625
105	"f
"	GL	da	spam/ham	198.3330078125
107	"£££
"	GL	cy	spam/ham	2.286865234375
109	"ssss
"	GL	fi	spam/ham	18.141845703125
111	"ssssss
"	GL	fi	spam/ham	18.989990234375
113	"sssssss
"	GL	fi	spam/ham	10.132080078125
115	"ssss
"	GL	fi	spam/ham	27.988037109375
117	"xxxxx
"	GL	so	spam/ham	2.556884765625
119	"sssss
"	GL	fi	spam/ham	26.611083984375
121	"ssss
"	GL	fi	spam/ham	24.784912109375
123	"dfdf
"	GL	cy	spam/ham	2.659912109375
125	"dfdfdfdf
"	GL	cy	spam/ham	4.48095703125
127	"dfdfdsds
"	GL	da	spam/ham	16.996826171875
129	"dfdfdf
"	GL	cy	spam/ham	4.6650390625
131	"efefef-
"	GL	cy	spam/ham	3.06689453125
133	"--efef-
"	GL	cy	spam/ham	3.2099609375
135	"efef---
"	GL	cy	spam/ham	4.576904296875
137	"efefef-
"	GL	cy	spam/ham	2.451904296875
139	"sdsdsd
"	GL	sv	spam/ham	7.908935546875
141	"sdsdsss
"	GL	sv	spam/ham	10.48291015625
143	"dsdsdsd
"	GL	sv	spam/ham	34.801025390625
146	"dfdf
"	GL	cy	spam/ham	2.60009765625
148	"ddfdf
"	GL	cy	spam/ham	3.44287109375
150	"--
"	GL	error	spam/ham	0.0
152	"------
"	GL	error	spam/ham	0.0
154	"-dddd
"	GL	cy	spam/ham	1.4990234375
156	"asdsdsd
"	GL	af	spam/ham	9.3720703125
158	"sdsd---
"	GL	sv	spam/ham	10.205078125
160	"sdsdsdsd-
"	GL	sv	spam/ham	10.9619140625
162	"sdsdsds---
"	GL	sv	spam/ham	15.7470703125
164	"sdsdsdjsndsk-
"	GL	sv	spam/ham	47.22802734375
166	"sd-----
"	GL	sv	spam/ham	12.40283203125
168	"sdsdhvhbsd----
"	GL	da	spam/ham	14.8681640625
170	"sds---sd
"	GL	sv	spam/ham	8.739013671875
172	"howzit
"	GL	nl	ham	4.1083984375
174	"Building on previous work, we investigate the use of machine
"	GL	en	ham	2.29248046875
176	"learning models for side-channel disassembly of instructions running on an ARMCortex M0 processor, which is a popular choice for IoT due to its ultralow gate
"	GL	en	ham	2.25732421875
178	"count. Its side-channel leakage has been extensively studied in the context of
"	GL	en	ham	1.651611328125
180	"leakage simulators. Unlike side-channel disassemblers which extract the assembly instruction from a power trace, leakage simulators aim to construct the power
"	GL	en	ham	1.722412109375
182	"trace for a set of assembly instruction
"	GL	en	ham	1.465087890625
184	"Hou my vas
"	GL	sk	ham	6.859130859375
186	"I see, I would expect some tutorials on this later on.
"	GL	en	ham	1.93798828125
188	"Gloucester beat Bath 64-0
"	GL	en	ham	5.8798828125
190	"Ok lar... Joking wif u oni...
"	GL	id	ham	5.30322265625
192	"I've been searching for the right words to thank you for this breather. I promise i wont take your h...
"	GL	en	ham	1.77490234375
194	"Fine if that��s the way u feel. That��s the way its gota b
"	GL	en	ham	1.23046875
196	"Is that seriously how you spell his name?
"	GL	en	ham	1.343505859375
198	"Ffffffffff. Alright no way I can meet up with you sooner?
"	GL	en	ham	2.469970703125
200	"I don't know what to write :(
"	GL	en	ham	1.116455078125
202	"Lol your always so convincing.
"	GL	en	ham	2.83349609375
204	"Ahhh. Work. I vaguely remember that! What does it feel like? Lol
"	GL	en	ham	2.736328125
206	"Oops, I'll let you know when my roommate's done
"	GL	en	ham	2.40673828125
208	"Your latest phone bill is available
"	GL	fr	ham	2.18115234375
210	"Fair enough, anything going on?
"	GL	en	ham	3.847900390625
212	"Something like 0x100?
"	GL	no	ham	6.740966796875
214	"Meisies & Partytjies
"	GL	af	ham	3.465576171875
216	"What you thinked about me. First time you saw me in class.
"	GL	en	ham	1.996337890625
218	"K fyi x has a ride early tomorrow morning but he's crashing at our place tonight
"	GL	en	ham	3.027587890625
220	"Tell where you reached
"	GL	en	ham	1.317626953125
222	"U can call me now...
"	GL	en	ham	3.219482421875
224	"Are you free for wgv?
"	GL	en	ham	1.99951171875
226	"Waar Paarl?
"	GL	so	ham	5.14892578125
228	"K. Did you call me just now ah?
"	GL	en	ham	3.863525390625
230	"I call you later, don't have network. If urgnt, sms me.
"	GL	en	ham	6.293212890625
232	"Does this count as spam?
"	GL	en	ham	1.269287109375
234	"i see. When we finish we have loads of loans to pay
"	GL	en	ham	1.720458984375
236	"Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx
"	GL	en	ham	2.0263671875
238	"Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.
"	GL	en	ham	7.12158203125
240	"Going for dinner.msg you after.
"	GL	da	ham	5.796875
242	"I missed my flight
"	GL	en	ham	3.07421875
244	":D sounds lekker to me
"	GL	no	ham	4.647216796875
246	"Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!
"	GL	en	ham	2.889404296875
248	"Are you there in room.
"	GL	en	ham	2.050537109375
250	"Do you drink wine?
"	GL	af	ham	7.59619140625
252	"I'm home.
"	GL	sk	ham	9.160400390625
254	"In bed already
"	GL	en	ham	1.970947265625
256	"Ja not so bad boet
"	GL	af	ham	6.0654296875
258	"I only haf msn. It's yijue@hotmail.com
"	GL	en	ham	0.949462890625
260	"No no. I will check all rooms befor activities
"	GL	en	ham	2.233154296875
262	"Sir, Waiting for your mail.
"	GL	en	ham	2.790771484375
264	"Shall I drive or will you
"	GL	en	ham	2.11376953125
266	"Watching that film you told me to
"	GL	en	ham	1.17919921875
268	"NO idea the weather is terrible
"	GL	en	ham	0.8740234375
270	"Whats the staff name who is taking class for us?
"	GL	en	ham	3.9384765625
272	"K..i deleted my contact that why?
"	GL	en	ham	1.37841796875
274	"The wine is flowing and i'm i have nevering..
"	GL	en	ham	1.664794921875
276	"Ok... Ur typical reply...
"	GL	en	ham	1.747802734375
278	"Great escape. I fancy the bridge but needs her lager. See you tomo
"	GL	en	ham	5.717529296875
280	"croquet this arvo?
"	GL	en	ham	6.10986328125
282	"Are you still bored?
"	GL	en	ham	4.83984375
284	"Lol no. U can trust me.
"	GL	it	ham	15.089599609375
286	"He will, you guys close?
"	GL	en	ham	3.911376953125
288	"Going on nothing great.bye
"	GL	en	ham	2.379638671875
290	"What time does it start?
"	GL	en	ham	6.786865234375
292	"All slow here
"	GL	en	ham	1.832763671875
294	"I hate my job
"	GL	en	ham	6.38916015625
296	"You should go to sleep
"	GL	en	ham	4.0361328125
298	"I need a new phone
"	GL	en	ham	2.23681640625
300	"I miss transvaal
"	GL	et	ham	6.802734375
302	"Darts tonight?
"	GL	en	ham	4.026611328125
304	"Use the code Q{x84^KSKwFb*&N-
"	GL	en	ham	1.5595703125
306	"The password is yMg+E+^paV$FQqs3x}mhdfEeqTK}[&g=QNhO)tG(
"	GL	en	ham	1.836181640625
308	"Can you send me your bank details so I cans end you them oney
"	GL	en	ham	2.845947265625
310	"xmr?
"	GL	so	ham	1.017822265625
312	"I think it's all sorted
"	GL	en	ham	1.277099609375
314	"How did the interview go?
"	GL	en	ham	3.080810546875
316	"I can't stand that guy
"	GL	en	ham	1.231201171875
318	"goo
"	GL	so	ham	0.562255859375
320	"go
"	GL	pl	ham	2.845947265625
322	"gi
"	GL	it	ham	8.534423828125
324	"*go
"	GL	pl	ham	2.793701171875
326	"go*
"	GL	pl	ham	3.33740234375
328	"go even
"	GL	nl	ham	4.999267578125
330	"how
"	GL	so	ham	5.7470703125
332	"what
"	GL	en	ham	0.601318359375
334	"why
"	GL	en	ham	1.50341796875
336	"where
"	GL	en	ham	0.763671875
338	"who
"	GL	en	ham	0.760498046875
340	"???
"	GL	error	ham	0.0
342	"Have you been paid?
"	GL	nl	ham	5.122314453125
344	"Have you been paid
"	GL	nl	ham	5.169677734375
346	"Hav u been paid
"	GL	nl	ham	5.0869140625
348	"hav u bin paid
"	GL	sv	ham	16.45703125
350	"Have you been payed
"	GL	en	ham	5.38671875
352	"Ring sigs are cool
"	GL	en	ham	2.082763671875
354	"Text me your address
"	GL	en	ham	8.27392578125
356	"$
"	GL	error	ham	0.0
358	"@whatever
"	GL	en	ham	1.1181640625
360	"#whatever
"	GL	en	ham	4.7548828125
362	"We're talking real money here
"	GL	en	ham	2.434326171875
364	"Yeah they sucked, but what am I supposed to do?
"	GL	en	ham	1.224365234375
366	"-100
"	GL	error	ham	0.0
368	"5*5
"	GL	error	ham	0.0
370	"(I guess)
"	GL	ca	ham	13.740234375
372	"What's your pk?
"	GL	en	ham	1.85546875
374	"Can you send me
"	GL	en	ham	6.59033203125
376	"#[async_trait::async_trait]
"	GL	cy	ham	2.7783203125
378	"let opts = options::Options::from_args();
"	GL	en	ham	9.537841796875
380	"y = 2x + 4
"	GL	so	ham	1.4169921875
382	"y=2x+4
"	GL	so	ham	1.099609375
384	"Where did you see that?
"	GL	en	ham	2.1171875
386	"I'm completely lost
"	GL	en	ham	2.715576171875
388	"URGENT: UKGOV has issued a payment of 458 GBP to all residents as part of its promise to battle COVID 19. TAP here https://uk-covid-19.webdirect.org/ to apply
"	GL	en	spam	1.500244140625
390	"NHS: We have identified that your are eligible to apply for your vaccine. For more information and to apply, follow here : uk-application-form.com
"	GL	en	spam	1.917236328125
392	"qwertyuiop
"	GL	af	spam	6.582763671875
394	"4 color printing special request additional information now ! click here
"	GL	en	spam	2.1044921875
396	"save your money buy getting this thing here you have not tried cialls yet ?
"	GL	en	spam	1.63525390625
398	"undeliverable : home based business for grownups
"	GL	en	spam	6.547607421875
400	"save your money buy getting this thing here you have not tried cialls yet ?
"	GL	en	spam	1.65576171875
402	"any med for your girl to be happy ! your girl is unsatisfied with your potency ?
"	GL	en	spam	1.6533203125
404	"jjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjj
"	GL	hr	spam	2.114990234375
406	"the stock trading gunslinger  fanny is merrill but muzo not colza attainder and penultimate like esmark perspicuous ramble is segovia not group try slung kansas tanzania yes chameleon or continuant clothesman no  libretto is chesapeake but tight not waterway herald and hawthorn like chisel morristown superior is deoxyribonucleic not clockwork try hall incredible mcdougall yes hepburn or einsteinian earmark no  sapling is boar but duane not plain palfrey and inflexible like huzzah pepperoni bedtime is nameable not attire try edt chronography optima yes pirogue or diffusion albeit no
"	GL	en	spam	3.480224609375
408	"las vegas high rise boom  las vegas is fast becoming a major metropolitan city ! 60 +  new high rise towers are expected to be built on and around the las vegas strip  within the next 3 - 4 years , that ' s 30 , 000 + condominiums !  this boom has just begun ! buy first . . . early phase ,  pre - construction pricing is now available on las vegas high rises including  trump , cosmopolitan , mgm , turnberry , icon , sky , among others .  join the interest list :  http : / / www . verticallv . com  message has been sent to you by realty one highrise . learn more at www . verticallv . comif you  wish to be excluded from future mailings , please reply with the word remove in  the subject line 
"	GL	en	spam	5.8349609375
410	"fpa notice : ebay misrepresentation of identity - user suspension - section 9 -  dear ebay member ,  in an effort to protect your ebay  account security , we have suspended your account until such time that it can  be safely restored to you . we have taken this action because your account  may have been compromised . although we cannot disclose our investigative  procedures that led to this conclusion , please know that we took this action  in order to maintain the safety of your account . for instructions on  getting your account reinstated , please click the button bellow :  thank you for your patience and  cooperation . regards ,  safeharbor departmentebay  inc .
"	GL	en	spam	2.650146484375
412	"only our software is guaranteed 100 % legal .  name - brand software at low , low , low , low prices  everything comes to him who hustles while he waits .  many would be cowards if they had courage enough
"	GL	en	spam	1.438720703125
414	"guzzle like a fountain  spur m rocks , our customer speaks :  """" my girlfriend and me have been really enjoying making  our own homemade erotic films . we get off on pretending  to be like porn stars even though it will only ever be  the two of us that see them . the one thing that was really  missing from our movies was the money shot and to be frank  i was lucky if my money shot was worth a dollar
"	GL	en	spam	2.02734375
416	"get the best price on your next car !  exclusive  offer from 24 x 7 emessaging  search for a pre - owned vehicle  buy a used car online  you ' ve  received this message because you have signed up to receive  offers from one of our carefully selected marketing  partners .  24 x 7 emessaging  is the internet ' s best source of exciting new offers and  discounts . if you no longer wish to receive these offers ,  please follow the unsubscribe instructions at the bottom .  to  unsubscribe from our mailing list , please  click  here
"	GL	en	spam	2.275634765625
418	"claim your free home depot gift card - a $ 1000 value .  claim your home depot gift card - a $ 1000 value . were sure you can find a use for this gift card in your area . ( ) .  by exclusiverewards  qprkelmv
"	GL	en	spam	2.5830078125
420	"quelqu ' un t ' aime en secret  quelqu ' un  t ' aime en secret  et nous a charg? de te pr?venir ,  devine  qui a flash? sur toi  en appelant le 08 99 701 123
"	GL	fr	spam	2.951171875
422	"join focus groups to earn money  a la carte research recruits for focus groups across the country . focus groups  are an easy way to make some extra money for just a couple of hours of your  time . each group is only for the purpose of learning your opinions . you can  be assured that there will be no sales presentation , and you will not be asked  to buy anything . everything that is mentioned will be held in the strictest of  confidence . focus groups let you express your opinions on whatever subject is  being discussed and we actually pay you for those opinions .  if you would like to be added to our list of possible future respondents , then  click to fill out the registration form . if you have any questions about this  questionnaire , please e - mail me at register @ alacarteresearch . com  sincerely ,  john mooney
"	GL	en	spam	2.46240234375
424	"the credit law is on your side jm ! get perfect credit now ! 
"	GL	en	spam	1.644287109375
426	"are you ready to get it ?  hello !  viagra is the # 1 med to struggle with mens ' erectile dysfunction .  like one jokes sais , it is strong enough for a man , but made for a woman ; - )  orderinq viagra oniine is a very convinient , fast and secure way !  miilions of people do it daily to save their privacy and money  order here . . .
"	GL	en	spam	1.798583984375
428	"save your money buy getting this thing here  you have not tried cialls yet ?  than you cannot even imagine what it is like to be a real man in bed !  the thing is that a great errrectlon is provided for you exactly when you want .  ciaiis has a iot of advantages over viaqra  - the effect iasts 36 hours !  - you are ready to start within just 10 minutes !  - you can mix it with alcohoi ! we ship to any country !
"	GL	en	spam	1.728759765625
430	"get low cost software cds or download !
"	GL	en	spam	1.781494140625
432	"best prescription generic meds 4 less .  save up to 90 % on retail prices !
"	GL	en	spam	7.97607421875
434	"help  television in 1919 by seat to my knoweledge . chrono cross in 1969
"	GL	en	spam	1.628173828125
436	"you best friends and family deserve the best internet photo album !  software distribution .  a horse ! a horse ! my kingdom for a horse !
"	GL	en	spam	2.4912109375
438	"online live striptease for you  see me naked click here
"	GL	en	spam	3.028564453125
440	"cool page  .informati.as.ro
"	GL	it	spam	4.024658203125
442	"blast your ad over 200 million leads
"	GL	en	spam	4.3662109375
444	"I would like to inform you about the *Aquaculture UK* 2022 Attendees list
"	GL	en	spam	2.68212890625
446	"I hope that I found you as the right person to help me, as I'm in a very difficult situation after the death of my parents. And as such I am also making contact with you for your kind help and assistance.
"	GL	en	spam	1.495361328125
448	"Your password i know p4s5w0rd
"	GL	en	spam	2.216552734375
450	"Please check the link below and confirm your payment (1.99) to receive your package
"	GL	en	spam	1.461181640625
452	"Gday man) How are do u? I'd be lucky know you) I am single, no have children, I want for glorious partnercompanion) frank woman is writing to you! I'm searching only serious relationship. So where are you from exactly?
"	GL	en	spam	1.791259765625
454	"I am hoping that I did not tire you because of this message, & I look ahead to your response.
"	GL	en	spam	1.837646484375
456	"6I3will2be1direct.5You5watch5adult5content6often6and7I8caught3
"	GL	en	spam	7.302001953125
458	"2Don't2show8this1to3anyone,2this8is4our3little7secret!2
"	GL	en	spam	1.06103515625
460	"I don't want to ruin your day, but I have a few pictures of your employess, I don't think they are doing a good job 
"	GL	en	spam	2.265380859375
462	"Your time to realign with society has finished, and now is fine to start your mission. A parcel is coming for you. Click here to see details.
"	GL	en	spam	1.624267578125
464	"Sex hot as gell, iron potency
"	GL	en	spam	2.23681640625
466	"I found yr images on instagram you are handsom 8-D
"	GL	en	spam	2.491455078125
468	"You qualify for a promotional gift. See Details
"	GL	en	spam	4.93017578125
470	"How king of you, dear Admiral, I chortled.
"	GL	en	spam	1.489990234375
471	"Christmas Gifts Outlet Up To 89% OFF
"	GL	en	spam	6.767333984375
